"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold","gene"
"RHOXF2",0.728073542747899,1.30727574896895,7.25482622279622,0.00000000000236052749676922,0.00000000000768976363504314,16.9769223556149,"Not","RHOXF2"
"IGHD6-19",-0.759035931257425,1.1689410330387,-7.25480943620092,0.00000000000236078392194091,0.00000000000768976363504314,16.9768156662692,"Not","IGHD6-19"
"LOC105376199",-0.892908340942179,1.52041299520842,-7.25276463385648,0.00000000000239222553365089,0.00000000000779101271242121,16.9638210517693,"Not","LOC105376199"
"PLA2G2C",-0.928805412568447,2.85705769190812,-7.25196998410058,0.00000000000240455529911142,0.00000000000782999725409768,16.9587718358162,"Not","PLA2G2C"
"SDCBP2",0.522119494480545,4.45057276382716,7.25043451842322,0.00000000000242855708304445,0.00000000000790697226125791,16.949016642684,"Not","SDCBP2"
"RPL7AP39",0.603821334845331,2.87778905765457,7.24921417397345,0.00000000000244780114057665,0.00000000000796843621409127,16.9412645998957,"Not","RPL7AP39"
"ZMAT3",-0.304589590878862,8.34476818358249,-7.24907327163915,0.00000000000245003272756515,0.00000000000797450861625279,16.940369603527,"Not","ZMAT3"
"S100A5",0.594747057585421,3.03844573856183,7.24834937465873,0.00000000000246152930659627,0.0000000000080107309297764,16.9357716944556,"Not","S100A5"
"ABCC10",0.258890452299948,8.42791130242752,7.24819864937124,0.00000000000246392972539679,0.00000000000801734455626347,16.9348143900897,"Not","ABCC10"
"LINC02356",0.922978151664743,1.73911162775019,7.24753168492265,0.00000000000247457935519362,0.00000000000805079418188274,16.9305784657995,"Not","LINC02356"
"CHKB",0.374011908758598,5.16297522194803,7.24654466812485,0.00000000000249042257949506,0.00000000000810112812496339,16.9243104108527,"Not","CHKB"
"NRIP2",-0.316869901831018,6.80037243934376,-7.24569588890221,0.00000000000250412671210954,0.00000000000814448979181259,16.9189207475515,"Not","NRIP2"
"SNRPD3",0.246250699971306,8.97027854533886,7.24419290033097,0.00000000000252857590583985,0.00000000000822278081685526,16.9093780846666,"Not","SNRPD3"
"VCPKMT",-0.416528941082072,7.61357054030373,-7.24400596363806,0.00000000000253163320276774,0.00000000000823149365242162,16.9081913042467,"Not","VCPKMT"
"CNKSR3",0.97193052829192,2.64880365965838,7.24371681066804,0.00000000000253636938897388,0.00000000000824566190577878,16.9063556421375,"Not","CNKSR3"
"NTRK3",-1.04616338884813,2.16005559670924,-7.24341992487823,0.00000000000254124131265976,0.00000000000826026714183703,16.9044709462333,"Down","NTRK3"
"ADORA3",0.778162280882947,4.98638934617983,7.24305857960403,0.0000000000025471834566755,0.00000000000827834623419537,16.9021771258033,"Not","ADORA3"
"ATP5F1B",0.230041286399421,11.3164228456795,7.24248669677001,0.00000000000255661575864223,0.00000000000830776125122138,16.8985469884452,"Not","ATP5F1B"
"RPL15P16",-0.846027269297831,2.70138517465186,-7.24135024288771,0.00000000000257546196171102,0.00000000000836775353868359,16.891333766522,"Not","RPL15P16"
"SRSF8",-0.265013106915051,8.73535514233809,-7.24121839096243,0.00000000000257765734381766,0.0000000000083736369777159,16.8904969401647,"Not","SRSF8"
"FLJ38576",0.767132238297301,2.24178126384899,7.2400784430208,0.00000000000259671488260353,0.00000000000843428797265689,16.8832624953536,"Not","FLJ38576"
"LINC01342",0.817635391972223,2.3713898218542,7.23915465630603,0.00000000000261226037081051,0.000000000008483515223624,16.8774005016788,"Not","LINC01342"
"ERCC1",0.244753347895255,8.27102089266257,7.2386517068746,0.00000000000262076249590666,0.00000000000850985734392595,16.8742092154153,"Not","ERCC1"
"NFKBID",0.283061856875849,8.27134764169466,7.23794613528196,0.00000000000263273579457267,0.0000000000085474611490711,16.8697325436133,"Not","NFKBID"
"THOC5",0.296704811172255,9.23329328178353,7.23790565292317,0.00000000000263342439721629,0.00000000000854842221964591,16.8694757033296,"Not","THOC5"
"PAQR3",-0.416586696930151,6.17064312417629,-7.23740132734294,0.00000000000264201782750993,0.00000000000857503922999384,16.8662761007997,"Not","PAQR3"
"APOBEC3H",0.605552366457988,4.62843461648747,7.23735739552114,0.00000000000264276770762912,0.00000000000857619475910939,16.8659973912352,"Not","APOBEC3H"
"RPA4",0.878749785285937,1.72125676484129,7.2369492353062,0.00000000000264974469316914,0.00000000000859755486421666,16.8634080271248,"Not","RPA4"
"HDAC5",0.253387230806911,10.1682276685112,7.23653115915893,0.00000000000265690998146946,0.00000000000861951949441261,16.8607558703515,"Not","HDAC5"
"RN7SL251P",-0.849402269375756,0.755192867523816,-7.23638071981952,0.00000000000265949298344881,0.00000000000862661398995944,16.859801553957,"Not","RN7SL251P"
"TNFRSF1B",0.254577257369849,12.1306804177941,7.23633546881585,0.00000000000266027041431042,0.00000000000862785050217597,16.8595145057984,"Not","TNFRSF1B"
"TC2N",-0.470340230777257,9.33382623782211,-7.23584995539988,0.00000000000266862582787228,0.00000000000865366007474593,16.856434753414,"Not","TC2N"
"SVIL",-0.398740980634596,10.0406053510927,-7.23463911720755,0.00000000000268957641712967,0.00000000000872029876161385,16.8487547330715,"Not","SVIL"
"EVI2A",-0.755704229157137,8.40960942206082,-7.23397335856009,0.00000000000270116465510369,0.00000000000875656697407814,16.8445324174711,"Not","EVI2A"
"DEFA1",-1.59954753858529,3.84985888755895,-7.23377699954446,0.00000000000270459187102181,0.00000000000876637213329858,16.8432871425329,"Down","DEFA1"
"MIR548AA1",-0.640551593041245,0.774200016904797,-7.23312007702465,0.00000000000271608883372391,0.00000000000880107122945762,16.8391212383664,"Not","MIR548AA1"
"LOC105372824",0.302875665416948,9.6998048938505,7.23309607855602,0.00000000000271650974664453,0.00000000000880107122945762,16.8389690563721,"Not","LOC105372824"
"PDXK",0.302875665416948,9.6998048938505,7.23309607855602,0.00000000000271650974664453,0.00000000000880107122945762,16.8389690563721,"Not","PDXK"
"RFC2",0.278456112887328,7.55351148212323,7.23301877709606,0.00000000000271786598579626,0.00000000000880415528722309,16.8384788655804,"Not","RFC2"
"MCOLN2",0.40786814871889,6.81316727326304,7.23201802050602,0.00000000000273548436787852,0.00000000000885990958062691,16.8321331361329,"Not","MCOLN2"
"SYCE1",0.838389887546396,0.765160642405125,7.22979809171389,0.00000000000277496872929767,0.00000000000898645807264379,16.8180590777895,"Not","SYCE1"
"KIAA1958",-0.463922245323416,6.73963273376407,-7.22973430263183,0.00000000000277611155703726,0.00000000000898882217910578,16.8176547114208,"Not","KIAA1958"
"ANKDD1A",-0.552783705511776,6.69380465131964,-7.22957278156643,0.00000000000277900739695246,0.00000000000899686084874216,16.8166308227171,"Not","ANKDD1A"
"ZNF362",0.250193052969706,8.18989681931542,7.22891191367271,0.00000000000279088681724937,0.00000000000903397657880258,16.812441733221,"Not","ZNF362"
"RNU6-204P",0.873363952677723,0.994123162181744,7.22751926903571,0.00000000000281608421423396,0.00000000000911418456672777,16.8036150232793,"Not","RNU6-204P"
"CD99L2",0.306189881320495,7.86924046102406,7.22734362623748,0.0000000000028192780182113,0.00000000000912316523206287,16.8025018739786,"Not","CD99L2"
"JUNB",0.366475448635446,10.7989198028191,7.22683277031512,0.00000000000282858746082956,0.00000000000915193045461569,16.7992644023399,"Not","JUNB"
"ASPG",0.889821015521052,0.936676904891647,7.22561464272562,0.00000000000285090797817932,0.00000000000922166767754215,16.7915453995061,"Not","ASPG"
"MED14",-0.221845210536124,8.92720721899463,-7.22561028474967,0.00000000000285098814260454,0.00000000000922166767754215,16.7915177857436,"Not","MED14"
"PHYH",0.344806106729484,5.61914272854463,7.22453467263771,0.00000000000287084191875207,0.00000000000928450657668591,16.7847026894103,"Not","PHYH"
"UBAC2-AS1",0.542543386487339,3.19008850171408,7.22234688462506,0.00000000000291164532578756,0.00000000000941506934496942,16.7708431857308,"Not","UBAC2-AS1"
"FAM133B",-0.415211800483098,6.76241275429909,-7.22119040080101,0.00000000000293344450651095,0.0000000000094841505759875,16.7635182086462,"Not","FAM133B"
"CYP1B1",-0.632850253453148,8.4381721804432,-7.22076689458378,0.00000000000294146753184407,0.00000000000950867807391695,16.7608360114196,"Not","CYP1B1"
"SNAI1",-0.699536278288037,2.97212030858838,-7.21969317412162,0.00000000000296190535377655,0.00000000000957332478528786,16.7540363352839,"Not","SNAI1"
"CD101",0.4957744485213,7.17690383724122,7.2184728679186,0.0000000000029853031540944,0.00000000000964751798462535,16.7463092832919,"Not","CD101"
"HECTD3",0.231598858084704,8.86872013232985,7.21791709439785,0.00000000000299601961770277,0.00000000000968071333661936,16.7427904182379,"Not","HECTD3"
"RNF220",0.203997179115209,9.68949316433363,7.21682208361798,0.00000000000301724463399351,0.00000000000974784894736033,16.7358579844045,"Not","RNF220"
"LINC01337",0.803836763939977,1.11982115743381,7.21677229780398,0.00000000000301821316205061,0.00000000000974953146471622,16.7355428128633,"Not","LINC01337"
"COL20A1",0.848360062857564,1.2353945081912,7.21553868407352,0.00000000000304230975320318,0.00000000000982591143221584,16.7277338838442,"Not","COL20A1"
"CYTOR",0.548180067761117,6.63287682421453,7.21503484453608,0.00000000000305220580709578,0.00000000000985641130795054,16.7245448059953,"Not","CYTOR"
"FAM87A",-1.02465291610849,2.03795211703033,-7.21488767666072,0.00000000000305510234840862,0.00000000000986430214065804,16.7236133311523,"Down","FAM87A"
"KCTD2",0.284144757900133,8.64663336650102,7.21484346620787,0.00000000000305597302198302,0.00000000000986565048979693,16.7233335111652,"Not","KCTD2"
"ZNF519",-0.456623294159939,5.93641104625343,-7.21477180599262,0.00000000000305738480571014,0.0000000000098687450554904,16.7228799569069,"Not","ZNF519"
"PFKFB2",-0.47396845163804,7.43563044957162,-7.21427517246609,0.00000000000306718668439285,0.00000000000989891656331026,16.7197367404964,"Not","PFKFB2"
"SPATA24",0.435599784029211,4.30449243806567,7.21271736165647,0.00000000000309813380083361,0.00000000000999731231670891,16.7098783424301,"Not","SPATA24"
"LINC02018",0.614064308409273,3.15563267838088,7.21201854680063,0.00000000000311211598627075,0.0000000000100409431917389,16.7054565071925,"Not","LINC02018"
"CCNY",-0.185332400914355,10.2075709315568,-7.2115440212852,0.00000000000312164589229045,0.0000000000100701984154999,16.7024540739142,"Not","CCNY"
"TUBB8P2",-0.767141935394799,1.05965517990835,-7.2099795913194,0.00000000000315326832271042,0.0000000000101707032627788,16.6925566166859,"Not","TUBB8P2"
"FAM153A",0.710445044012377,6.26440683014163,7.20916090527507,0.00000000000316994223011555,0.0000000000102229697957296,16.6873777970993,"Not","FAM153A"
"MS4A1",-0.598562401523248,9.88578476850818,-7.20877602582133,0.00000000000317781090876102,0.0000000000102468284522836,16.6849432914454,"Not","MS4A1"
"SEMA4A",0.498851206184991,9.72290076430899,7.20870449601228,0.00000000000317927541946169,0.0000000000102500329077255,16.6844908496063,"Not","SEMA4A"
"SAMD9",-0.600938932466891,9.36167351220862,-7.20828503333184,0.0000000000031878769363097,0.00000000001027624282578,16.6818377236507,"Not","SAMD9"
"WDR11-AS1",-0.748318615738338,5.10388396305305,-7.20818491205943,0.0000000000031899334112481,0.0000000000102813499156198,16.6812044679645,"Not","WDR11-AS1"
"TGOLN2",-0.251377618915088,11.4467519600763,-7.20813357771051,0.00000000000319098831700743,0.0000000000102832278530171,16.6808797866053,"Not","TGOLN2"
"SOCS4",-0.389206144443778,8.2217079532287,-7.20724645342969,0.00000000000320927280583111,0.0000000000103406207971252,16.6752691460935,"Not","SOCS4"
"BMT2",-0.361287413264933,7.70423950763177,-7.20680144888685,0.00000000000321848358813255,0.0000000000103687646296177,16.6724548994646,"Not","BMT2"
"LINC02021",-0.743026449541619,4.09113749888591,-7.20636523777847,0.00000000000322753761997342,0.0000000000103963952181836,16.6696963904564,"Not","LINC02021"
"RAD23BP3",0.870121662387215,0.673660280048344,7.20516406313713,0.0000000000032525990874564,0.0000000000104755724196662,16.6621010608048,"Not","RAD23BP3"
"ZNF503-AS2",0.733191633013015,2.71390362609117,7.20496458793808,0.00000000000325677947297322,0.0000000000104874849192535,16.6608398213658,"Not","ZNF503-AS2"
"RHBDL1",0.559871024972009,3.81656854155194,7.20444292809311,0.00000000000326773687602596,0.0000000000105212140286064,16.657541601146,"Not","RHBDL1"
"ETAA1",-0.444476244060452,6.30820516404078,-7.20402071238296,0.00000000000327663203531487,0.0000000000105482942887317,16.6548722532965,"Not","ETAA1"
"HHAT",-0.339025247716522,5.72633751219251,-7.203699256332,0.00000000000328342038896315,0.000000000010568585213551,16.6528400110342,"Not","HHAT"
"ANGEL2",-0.309830474047233,8.78407972026585,-7.20248549338703,0.00000000000330917711215449,0.0000000000106499159942601,16.6451672294277,"Not","ANGEL2"
"TMC6",0.316740907564853,10.6753961587806,7.20239480966189,0.00000000000331110943727746,0.0000000000106545600704473,16.644594012976,"Not","TMC6"
"NT5DC1P1",-0.841666440028464,0.637441502353307,-7.20094049616928,0.0000000000033422507151962,0.0000000000107531780915185,16.6354019671029,"Not","NT5DC1P1"
"SCML4",0.266860907449738,8.78647353090851,7.20085782322513,0.00000000000334402962997501,0.0000000000107573120391056,16.6348794715649,"Not","SCML4"
"HNRNPH3",-0.259775827449284,9.95348680340297,-7.20066077566067,0.00000000000334827335955862,0.0000000000107693725855818,16.6336341431752,"Not","HNRNPH3"
"TOX",-0.438341196713,6.74971234343545,-7.20058219847159,0.00000000000334996712132248,0.0000000000107732290749959,16.6331375473836,"Not","TOX"
"DDX55P1",-0.915175935324037,1.76801476854048,-7.20004749104613,0.00000000000336151536768921,0.0000000000108087709881029,16.6297583869943,"Not","DDX55P1"
"TRMT1P1",0.752897584550659,0.932367508212286,7.20002134747561,0.00000000000336208100252283,0.0000000000108089936261531,16.6295931738,"Not","TRMT1P1"
"TTTY10",-1.69275720163512,2.23584588029214,-7.19994926696537,0.00000000000336364100122595,0.0000000000108124125777524,16.6291376663919,"Down","TTTY10"
"ZNF675",-0.480028992872563,6.8352076973534,-7.19925350840473,0.00000000000337873560247761,0.0000000000108593310323173,16.6247410489754,"Not","ZNF675"
"HSPB7",0.856828003526375,0.541416502053349,7.19888048478588,0.00000000000338685585403681,0.000000000010883823232239,16.6223839809192,"Not","HSPB7"
"IGLV3-25",-0.925211552769762,5.99077071963057,-7.19752756722849,0.00000000000341646868165052,0.0000000000109773654335163,16.6138359155632,"Not","IGLV3-25"
"ADORA2A-AS1",0.44337981601102,4.84106240416601,7.19739382924514,0.0000000000034194097619082,0.000000000010985194388544,16.6129909919973,"Not","ADORA2A-AS1"
"TCN2",0.679027946592372,5.77572519399927,7.19730305131653,0.00000000000342140751204601,0.0000000000109899909388998,16.6124174862038,"Not","TCN2"
"WLS",-0.719984303970286,9.40252946248701,-7.19671342250834,0.00000000000343441147291397,0.0000000000110301341921389,16.6086925336862,"Not","WLS"
"ACP4",-0.887303487938498,3.178770793603,-7.19490018026273,0.00000000000347470724456755,0.0000000000111579044758086,16.5972389036959,"Not","ACP4"
"ARMC5",0.354202664147603,6.89724191588723,7.1948498432368,0.00000000000347583250095859,0.0000000000111598721186041,16.5969209730297,"Not","ARMC5"
"FOXN3-AS1",0.475543051433712,4.10739908109714,7.1946597251084,0.00000000000348008572367537,0.0000000000111718806771386,16.5957201944847,"Not","FOXN3-AS1"
"PCDHGB2",-0.988777694435697,2.87015631569771,-7.19378671065949,0.00000000000349968221596838,0.0000000000112331338815907,16.5902065774517,"Not","PCDHGB2"
