"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold","gene"
"FCGR3B",-7.9980905177826,15.9087481063702,-59.0900868783336,4.71850501029379e-191,1.02745446599147e-186,424.725359059053,"Down","FCGR3B"
"MZF1-AS1",2.21830661723064,3.82624006885734,46.2969716512754,2.135239234437e-156,2.32474171649328e-152,346.242614145324,"Up","MZF1-AS1"
"AP3B2",6.95107434826071,0.375910146248755,44.2671853974152,2.87256046041782e-150,2.0850001341866e-146,332.304859761268,"Up","AP3B2"
"ADGRG6",-4.21785743598792,5.01316220883911,-34.2427421429287,5.28794703713121e-117,2.8786261683383e-113,256.436220061454,"Down","ADGRG6"
"FBLN2",-3.08330423065772,6.61174673831505,-32.8486937072551,5.89388177850913e-112,2.56678551454073e-108,244.898956838165,"Down","FBLN2"
"NT5DC4",3.56628846084541,2.82128882048986,32.7692976026517,1.15091089382013e-111,4.17684745215557e-108,244.234408770139,"Up","NT5DC4"
"SERPINE2",-2.64532131052412,6.26296681902682,-31.3898091555118,1.46418794232298e-106,4.55467034915469e-103,232.560026496248,"Down","SERPINE2"
"SNORA70F",3.18600708695577,-0.842785202077929,30.731128153033,4.3580360791218e-104,1.18620294528596e-100,226.900722484682,"Up","SNORA70F"
"LYPD8",4.65720304890304,0.981795678545906,30.3827586919501,9.05795800584268e-103,2.19152261752472e-99,223.885542612785,"Up","LYPD8"
"TSPYL5",-1.99598457490691,6.00392124953302,-29.3806584288598,6.07536847391311e-99,1.32291148519458e-95,215.128125723368,"Down","TSPYL5"
"GLULP4",3.36315280603306,0.124810746679591,28.9259506749941,3.44589254700348e-97,6.82130092827279e-94,211.113725571619,"Up","GLULP4"
"PLEKHA6",2.66532643202366,2.61953241515321,28.561803335331,8.90186287602343e-96,1.61531720104508e-92,207.880800209078,"Up","PLEKHA6"
"KCNQ5",-1.71445484829243,6.32599857936641,-28.4292114674405,2.91990652096873e-95,4.89084342262262e-92,206.699692278823,"Down","KCNQ5"
"CCDC180",1.84340858448359,4.47527439402725,28.1630115361309,3.190086600597e-94,4.96172398057141e-91,204.322112759614,"Up","CCDC180"
"SLIT2",2.99389191074488,-0.0106687213634441,27.6004751605453,5.12825264053451e-92,7.44451341650926e-89,199.270387698675,"Up","SLIT2"
"CR2",-1.88147042510919,7.02687237680964,-27.2863267851458,8.88862737309621e-91,1.20968663155731e-87,196.433309079837,"Down","CR2"
"FNDC10",2.07145585702659,4.54615770126444,27.207073963307,1.82867408892337e-90,2.34231636978273e-87,195.715795819089,"Up","FNDC10"
"LRRN3",-2.69194964665078,8.27635821881262,-27.0302273199573,9.16944677826172e-90,1.10924835331472e-86,194.112157435044,"Down","LRRN3"
"C1QA",3.14477917865841,4.1977330538492,26.8717084153124,3.90178364162673e-89,4.471649410338e-86,192.671727718152,"Up","C1QA"
"ADGRA3",-2.17727051790161,5.74211692289103,-26.3025282185953,7.23244999532194e-87,7.87432993240676e-84,187.476809375962,"Down","ADGRA3"
"CD276",3.53827305409087,0.201932317526897,26.2911169201271,8.03361455587555e-87,8.33009318829477e-84,187.372297294223,"Up","CD276"
"NRCAM",-3.08922045803751,5.73463353747186,-26.0630806464318,6.57533317585754e-86,6.50808545019536e-83,185.280868082071,"Down","NRCAM"
"SLC7A3",-3.86353498900616,3.04644159473799,-25.7296314615956,1.4362167743216e-84,1.35972262003708e-81,182.2127469652,"Down","SLC7A3"
"C1QTNF6",1.24929634608509,6.58329191303118,25.7063189239851,1.7825473017127e-84,1.61729031228308e-81,181.997810743913,"Up","C1QTNF6"
"STK32C",1.31858933250336,6.70132796058261,25.52838453297,9.28809051494111e-84,8.08992683851371e-81,180.355454323445,"Up","STK32C"
"LOC643709",3.38040646832239,0.878699119373136,25.4930180371334,1.28997432089858e-83,1.08035349375256e-80,180.028631472057,"Up","LOC643709"
"BEND4",-2.07729258519127,5.93658114098611,-25.3209263323803,6.39008669889203e-83,5.15348658771755e-80,178.436520281531,"Down","BEND4"
"RN7SKP127",2.61822660603619,1.05451931369756,25.2152034205865,1.71025082644569e-82,1.29300160969982e-79,177.456948583965,"Up","RN7SKP127"
"LINC00452",3.01613352803434,1.11222575680574,25.2144671815459,1.72202280970355e-82,1.29300160969982e-79,177.450123088536,"Up","LINC00452"
"LOC400347",-2.71675671569341,2.43673715260322,-25.015720653145,1.09920419591887e-81,7.97839045537782e-79,175.605636824858,"Down","LOC400347"
"RPRM",4.69527593677909,-1.04842715266896,24.9759602337183,1.59342073889669e-81,1.11924956740244e-78,175.236172241902,"Up","RPRM"
"ASIC1",-2.93976395366153,5.13377990061101,-24.6804078340885,2.52939907538428e-80,1.7211770270779e-77,172.485050217712,"Down","ASIC1"
"IGHD1-26",-2.36989175884976,1.09936619358233,-24.4719954508305,1.78577306819164e-79,1.17833965332948e-76,170.540100301572,"Down","IGHD1-26"
"EGR4",2.49491439041317,-0.277796334972897,24.2723741374,1.16531232508448e-78,7.46313996432778e-76,168.673437877669,"Up","EGR4"
"FAM155B",3.25846124355138,-0.00820408821219606,24.1688455383815,3.0869624351105e-78,1.92053162927232e-75,167.703922130727,"Up","FAM155B"
"ZNF385D-AS1",3.21709357617666,-0.696186101966998,24.1569026549008,3.45433610619194e-78,2.08939357534248e-75,167.592018909672,"Up","ZNF385D-AS1"
"FMN1",-3.71047021933916,7.99448438422376,-24.1396675674797,4.06299894826133e-78,2.39112978644299e-75,167.430506129558,"Down","FMN1"
"RAPGEF3",1.5941693163469,5.3717956837215,24.1047587727232,5.644679048108e-78,3.23454963875136e-75,167.103289629278,"Up","RAPGEF3"
"DNTT",-3.22364224660901,3.28927217388623,-24.0979964455071,6.01596817709251e-78,3.35891556554332e-75,167.03989072466,"Down","DNTT"
"KCNJ12",3.15208033133742,0.364719890901332,24.0934871245251,6.27704422627619e-78,3.4170659506791e-75,166.997612209123,"Up","KCNJ12"
"NPTX2",-3.89333336569851,3.0028252672697,-24.0401653385262,1.03747289896285e-77,5.50999326217467e-75,166.497542016092,"Down","NPTX2"
"AIRE",2.27004301291866,4.43043498499633,23.855966307515,5.89706389945309e-77,3.05734681929979e-74,164.768156940262,"Up","AIRE"
"TRBV29-1",1.70044092863045,5.87896060926099,23.7989216525421,1.0106485086487e-76,5.11787704088966e-74,164.231992388467,"Up","TRBV29-1"
"CCDC68",3.93254003498979,0.193125344998621,23.6889369842548,2.85776945335843e-76,1.41427113288363e-73,163.19746690087,"Up","CCDC68"
"LINC01833",2.47164893906088,-0.55532271975116,23.5202678032849,1.4098128409674e-75,6.82192769157002e-73,161.608995760443,"Up","LINC01833"
"MTRNR2L3",2.52358057290535,1.30566291103086,23.5157193553966,1.47186123924788e-75,6.96734314883098e-73,161.566127665736,"Up","MTRNR2L3"
"TRBV5-6",1.88505690793168,4.5624164922959,23.4357646260558,3.13903877287166e-75,1.45430998466554e-72,160.812298923206,"Up","TRBV5-6"
"ADAM28",-1.3631339312481,8.61859199691132,-23.3906050305981,4.81591287787427e-75,2.184718810744e-72,160.386298320801,"Down","ADAM28"
"C1QB",3.37800432681484,3.07417761826015,23.2234302912135,2.35175593423333e-74,1.04509154016185e-71,158.807896461255,"Up","C1QB"
"SLC35G3",-2.90056529908896,2.63950072676048,-23.1777831185724,3.62751209274382e-74,1.57978151638993e-71,158.376533692269,"Down","SLC35G3"
"LIPC",-2.54805820836448,6.07480787560601,-23.1358458315236,5.40243147654016e-74,2.30662638042474e-71,157.98008781406,"Down","LIPC"
"LINC02899",4.00044191140172,-0.158736514533303,22.9927334984856,2.10534060695321e-73,8.81611379161657e-71,156.626198574046,"Up","LINC02899"
"PCDH18",2.40913295192445,0.157097057916968,22.7334565000795,2.4843430349432e-72,1.02068999218657e-69,154.16950058572,"Up","PCDH18"
"APOD",3.17824345240928,-0.339073233568881,22.6090042068878,8.13670565094016e-72,3.28105121387448e-69,152.988587206997,"Up","APOD"
"IGHV6-1",-4.03109606173859,5.84205872899983,-22.6014428843135,8.74515832470528e-72,3.46228768219014e-69,152.916804003813,"Down","IGHV6-1"
"TRDJ3",-1.81523423972006,3.42969658628583,-22.5301828865714,1.72587772542886e-71,6.71089061985956e-69,152.24010682934,"Down","TRDJ3"
"ZNF542P",-1.17985403727904,6.6108565309168,-22.5244708955102,1.82256160343037e-71,6.96250507275373e-69,152.185849814145,"Down","ZNF542P"
"LINC00892",1.77486944440469,3.981270371746,22.4390141378222,4.12053125121001e-71,1.54697531026031e-68,151.373851787721,"Up","LINC00892"
"SLC4A10",-2.8677567215784,6.77208522767324,-22.4320643615005,4.40325207156183e-71,1.61110188958539e-68,151.307794553759,"Down","SLC4A10"
"TRIM49D2",2.52259559926302,-0.63937413364505,22.4312101299907,4.43931634328926e-71,1.61110188958539e-68,151.299674910187,"Up","TRIM49D2"
"IL18BP",0.829813156800887,7.6135925577508,22.4233147878318,4.78695672405748e-71,1.70878660108773e-68,151.224625795921,"Not","IL18BP"
"TMEM130",3.40312168483549,-0.00780518144240485,22.4029767113177,5.8131741491239e-71,2.04164301769634e-68,151.031283395011,"Up","TMEM130"
"HOXB8",2.87998463528598,-0.465021956241252,22.3427502200351,1.03341823114607e-70,3.57185428304854e-68,150.458585562587,"Up","HOXB8"
"ADAM12",-2.18443373974051,5.88402220096029,-22.2851175735709,1.7925555681218e-70,6.0988902337269e-68,149.910332326319,"Down","ADAM12"
"FIBCD1",3.87270610937153,0.0243226423335511,22.2347185259234,2.90216485416029e-70,9.72225226143697e-68,149.430717220553,"Up","FIBCD1"
"PCBP3",-1.92923883797462,6.3000723841781,-22.141604166226,7.07131743304795e-70,2.33299904703968e-67,148.544187362866,"Down","PCBP3"
"CCL20",-3.0374908864545,3.08925267072753,-22.1324821882832,7.71620336610844e-70,2.50776609398524e-67,148.457309194841,"Down","CCL20"
"LGALS17A",2.71426170584023,1.29522660477804,22.1169443462873,8.95305086007916e-70,2.86695121291505e-67,148.309314232063,"Up","LGALS17A"
"LYPLAL1-DT",-2.97185689130467,2.98962413266132,-21.998554965629,2.78063899792158e-69,8.77513248981775e-67,147.181196401327,"Down","LYPLAL1-DT"
"GPR85",3.22944122681138,0.414226910957199,21.9646074516552,3.8489240163265e-69,1.19729029222157e-66,146.857559975302,"Up","GPR85"
"APOL4",3.15217220870267,2.37789842512408,21.9630176779634,3.9079792815242e-69,1.19853871627028e-66,146.842402304121,"Up","APOL4"
"PNMA1",-0.851494621740133,8.17928956068273,-21.9493999720153,4.45245842021015e-69,1.34655947361217e-66,146.712558429157,"Not","PNMA1"
"DPPA4",-1.82683491761837,4.51402423103374,-21.8855217467236,8.21080736973787e-69,2.44918260926085e-66,146.103339741379,"Down","DPPA4"
"TRAV12-2",1.4559316099759,4.8601667338867,21.8442534688137,1.21940987593303e-68,3.58819595249214e-66,145.709631367132,"Up","TRAV12-2"
"LINC01315",-2.96998503262493,2.55233582913363,-21.8073233794143,1.73737192197891e-68,5.04416981347876e-66,145.357228208138,"Down","LINC01315"
"DPP10",2.31120202711761,-0.220767265394366,21.6748154485724,6.19160917762832e-68,1.77397749793232e-65,144.092154828575,"Up","DPP10"
"LOC100996361",-2.69281182251244,2.18788881751524,-21.5637719840739,1.79732642615386e-67,5.08269908175329e-65,143.031275762752,"Down","LOC100996361"
"MEX3A",-2.65915607918466,3.17702456047618,-21.338057011902,1.57121133578773e-66,4.38629831240742e-64,140.872909430718,"Down","MEX3A"
"CTNNA2",3.16306599558305,0.0939318938461785,21.3333070836069,1.64460394186766e-66,4.53306972584408e-64,140.827462027964,"Up","CTNNA2"
"TRBV9",1.47537603720222,4.97087585607535,21.3148276940218,1.9642680027051e-66,5.28855780960163e-64,140.650640658251,"Up","TRBV9"
"HBE1",3.17092333193243,-0.25127213237874,21.3146687857121,1.96727064329613e-66,5.28855780960163e-64,140.649120062317,"Up","HBE1"
"ST6GALNAC5",2.23754205522196,-0.241536425601887,21.2735468422869,2.92110083000982e-66,7.75694763091022e-64,140.255583590204,"Up","ST6GALNAC5"
"IGHJ6",-2.25549441798398,6.13015961538256,-21.261274238611,3.28693247491774e-66,8.62324754714865e-64,140.138119600414,"Down","IGHJ6"
"MYO5A",-0.716325257948609,10.0514696452902,-21.2415744788977,3.97240380013399e-66,1.02975110414188e-63,139.949553954567,"Not","MYO5A"
"PTP4A3",1.38147000476423,8.06901256665637,21.206074010482,5.58877062945058e-66,1.43171153477984e-63,139.6096993092,"Up","PTP4A3"
"LILRA5",1.82379684879781,9.02417049558472,21.1666650622778,8.16453179364247e-66,2.06724046286703e-63,139.232360954197,"Up","LILRA5"
"ZNF471",-2.17466973305026,4.86730848896507,-21.1639267133481,8.38244572213972e-66,2.09802017930566e-63,139.206138838411,"Down","ZNF471"
"NAIP",2.46259635595196,6.37985025715245,21.1520658689895,9.39552699507486e-66,2.32485909451994e-63,139.092556900494,"Up","NAIP"
"CTAGE11P",-3.31727867591288,2.47464786914435,-21.0775387896683,1.92455278634063e-65,4.70866706995137e-63,138.378728597794,"Down","CTAGE11P"
"CORO1B",0.712635785837151,9.69162936789195,21.0620179950753,2.23458022729951e-65,5.4064427166052e-63,138.230038551807,"Not","CORO1B"
"PRSS35",-3.38086272138685,3.66462818450326,-21.0128442783013,3.58704621751777e-65,8.58328916334609e-63,137.758884343014,"Down","PRSS35"
"CUX1",0.755114746331902,9.78538960410958,20.9489908121603,6.63288589938347e-65,1.56990315716386e-62,137.146927446838,"Not","CUX1"
"F8",1.21759221917226,4.96592704067616,20.8163098444626,2.38042438764304e-64,5.57352054203519e-62,135.874823569762,"Up","F8"
"MEG3",4.07852851462141,3.23574462138634,20.8053906147732,2.64446759691577e-64,6.12588105562137e-62,135.770103201333,"Up","MEG3"
"LOC105371899",-2.80352538739036,3.15542877692936,-20.7914281385581,3.02522201888899e-64,6.93412731171661e-62,135.636190213207,"Down","LOC105371899"
"DPP3-DT",1.22264692257243,4.15596110125549,20.7512594791682,4.45492432960162e-64,1.01047892996953e-61,135.250895597342,"Up","DPP3-DT"
"TCAF1",-1.1452267906051,6.37738473705896,-20.7312141439024,5.40416039923503e-64,1.21315044013756e-61,135.058600294229,"Down","TCAF1"
"CRISP3",-3.03447246878661,5.94312735414012,-20.7038411070428,7.0354515028733e-64,1.56323424974557e-61,134.795986904776,"Down","CRISP3"
"OSR2",2.26095838686761,-0.263427777359747,20.6932345744494,7.79267108070067e-64,1.71399406850765e-61,134.6942220471,"Up","OSR2"
"LINC02891",2.70686064873573,-0.177962158604715,20.6699353501199,9.75467600276258e-64,2.12408069960155e-61,134.470662727934,"Up","LINC02891"
"HCP5B",-3.3145194040668,4.11603961381485,-20.6511913790162,1.16863200351006e-63,2.51950117588432e-61,134.290798022963,"Down","HCP5B"
"GAPDHP46",1.70556338505281,0.488234632208245,20.6441639960467,1.25053757842134e-63,2.6696525264828e-61,134.223361058813,"Up","GAPDHP46"
"FDXR",1.1924936105897,5.86089865178159,20.5745430899202,2.44676383501916e-63,5.17264878714001e-61,133.555167134933,"Up","FDXR"
"DCAF8L2",-2.29057791524554,1.3183964473986,-20.5482544942569,3.15266345535906e-63,6.60088910965803e-61,133.302818003142,"Down","DCAF8L2"
"PARP4P2",-2.10794438552226,3.49914964157748,-20.5070950676188,4.68872981964704e-63,9.72353255455375e-61,132.907676542485,"Down","PARP4P2"
"CEMIP2",-0.589650910537303,10.0451098446367,-20.4868073847066,5.70202940645219e-63,1.17133670118393e-60,132.712889809588,"Not","CEMIP2"
"AKR7A2",1.12572171080487,7.35444203672955,20.4851504088863,5.79388514216649e-63,1.17908270066052e-60,132.696980239023,"Up","AKR7A2"
"GGTLC2",2.25475707405061,-0.295091013600928,20.4805000640432,6.05966432784099e-63,1.22175176609942e-60,132.652329172873,"Up","GGTLC2"
"DNALI1",2.48991756165956,1.64365784284731,20.4101193485777,1.19476814310592e-62,2.38679599230563e-60,131.976477155069,"Up","DNALI1"
"CACNA1B",2.21698393410106,0.562518672389807,20.3856204689164,1.51330993118575e-62,2.99566579559725e-60,131.741185003581,"Up","CACNA1B"
"IGLV5-37",-3.50981077241268,3.51445144004842,-20.3813010482395,1.57770558952021e-62,3.09164928396665e-60,131.699698630308,"Down","IGLV5-37"
"ADAMTSL5",1.54694169122215,4.07746575267475,20.3804838297285,1.59019389117917e-62,3.09164928396665e-60,131.691849501064,"Up","ADAMTSL5"
"ZNF154",-1.5643987860478,7.89360058886735,-20.3516895992125,2.09943352013816e-62,4.04558981424854e-60,131.415277813814,"Down","ZNF154"
"ZNF860",-2.0027277398163,5.67495356862659,-20.3416793360172,2.31232545799229e-62,4.41674446033176e-60,131.319122713267,"Down","ZNF860"
"ANKS1B",2.03524342748418,1.8154007545681,20.3374537458197,2.4085527522965e-62,4.56054227663098e-60,131.278532332501,"Up","ANKS1B"
"PRL",-2.99691738917145,2.42826662675984,-20.307322898351,3.22125186941557e-62,6.04678960832105e-60,130.989085789099,"Down","PRL"
"RPL21P48",1.64419261978095,0.700199396222496,20.2379526258361,6.29176837551892e-62,1.17096800322158e-59,130.322600903263,"Up","RPL21P48"
"ZNF630",-1.36192210138254,5.78901690604706,-20.2281840945039,6.91384129795783e-62,1.27583808697484e-59,130.228738351397,"Down","ZNF630"
"ZDHHC21",-1.54452418713113,7.69899276739151,-20.1881455028741,1.01755920889697e-61,1.86196233392702e-59,129.843996049038,"Down","ZDHHC21"
"RHEX",1.45464238417716,4.96223055829872,20.1736712461346,1.17014432722666e-61,2.12332439378005e-59,129.704899120767,"Up","RHEX"
"SLC66A2",0.866191799738043,9.13256943024035,20.1280286083722,1.81802170245493e-61,3.27168781578149e-59,129.266242997712,"Not","SLC66A2"
"GREM2",2.42986316574559,2.0258278149694,20.0783831596172,2.9360557873506e-61,5.24037825979995e-59,128.789063100823,"Up","GREM2"
"KIDINS220",-0.922043675799113,9.87966994805519,-20.0682889626433,3.23662626168048e-61,5.72988104456036e-59,128.692033496697,"Not","KIDINS220"
"TRAV8-3",1.17972877533979,4.94003442503612,20.0155212332531,5.38741155467508e-61,9.46055537121369e-59,128.184773036921,"Up","TRAV8-3"
"C10orf82",3.30412488084342,0.184665241977071,19.9956099823629,6.5296032913459e-61,1.13745689335246e-58,127.993349680874,"Up","C10orf82"
"PI16",1.54302102562848,5.95417212915636,19.9926404339462,6.71956576287075e-61,1.16125828957548e-58,127.964800271786,"Up","PI16"
"ERBB3",-2.2186456275881,4.70734942398349,-19.9516175123136,9.98621188908598e-61,1.71220286523502e-58,127.570385953402,"Down","ERBB3"
"TRDV3",-2.91462614790071,3.96273549321527,-19.9225090582159,1.32280789888549e-60,2.25032359361185e-58,127.290503799613,"Down","TRDV3"
"FZD9",-2.80504659280666,2.79731843669918,-19.910797247493,1.48123553381708e-60,2.50030261619123e-58,127.177888610171,"Down","FZD9"
"LOC375196",-2.31694787302662,1.46504668630677,-19.9078223958967,1.52441374286764e-60,2.55339301930329e-58,127.149283463133,"Down","LOC375196"
"NBEAP2",-3.66223904535729,4.70126130859209,-19.8755568243208,2.08186693111726e-60,3.46050781870827e-58,126.839018860213,"Down","NBEAP2"
"CD248",-1.81269036040216,6.30695773764445,-19.8678179996813,2.24345599880506e-60,3.7008526040894e-58,126.764599925638,"Down","CD248"
"CACHD1",-1.89446135880693,5.01745199713856,-19.8258648774924,3.36449344361332e-60,5.50840937854737e-58,126.361148413057,"Down","CACHD1"
"IRX6",-2.85965138443545,2.09096331556378,-19.7926319556538,4.63817891060274e-60,7.53704072972946e-58,126.041536734605,"Down","IRX6"
"SYT3",-2.97921494836541,2.61308169061053,-19.7642934182533,6.09883455101015e-60,9.83719424801823e-58,125.768982739988,"Down","SYT3"
"PEAK1",-0.862507276985893,8.1531068580854,-19.7499916921523,7.0025178735445e-60,1.12117519629729e-57,125.631427373559,"Not","PEAK1"
"ABCB4",-1.72919229876833,6.30198374667338,-19.7429240957082,7.49737116240105e-60,1.19164421212615e-57,125.563449491475,"Down","ABCB4"
"SMIM19",-0.790027384960685,6.77027980287107,-19.7142094434396,9.89453405518521e-60,1.56125709457723e-57,125.287257860411,"Not","SMIM19"
"PHF19",0.779055015391055,8.52171352133191,19.6982942741686,1.15392422377337e-59,1.80767625702627e-57,125.134173227117,"Not","PHF19"
"PSKH1",0.633892671707724,8.07389943802307,19.6695487344863,1.52335315316523e-59,2.36935820786949e-57,124.857667841362,"Not","PSKH1"
"TAF1",-0.710846508878452,9.67791260442976,-19.6637034445192,1.61186776420475e-59,2.4892496855006e-57,124.801440341251,"Not","TAF1"
"CHD2",-0.624197176124754,11.2972397433699,-19.6572663775628,1.71530648558397e-59,2.63033793828105e-57,124.739519898518,"Not","CHD2"
"N4BP3",-1.13802756997031,6.89880999672911,-19.6554937417208,1.74493962575511e-59,2.65706715739983e-57,124.722468196105,"Down","N4BP3"
"IGFBP3",2.07962243301034,4.33932864826944,19.5969931082514,3.0710073102873e-59,4.6438322348268e-57,124.159707008631,"Up","IGFBP3"
"MYOZ3",2.50722999136738,1.49074636693194,19.5957552168088,3.10796337762855e-59,4.66730362399046e-57,124.147798409894,"Up","MYOZ3"
"TMEM18",0.801771931929117,7.09212849253377,19.5566788321294,4.53388746768586e-59,6.7620136718397e-57,123.771873119893,"Not","TMEM18"
"RN7SL329P",1.76878634104583,0.920874234518466,19.5385869773578,5.40008252281592e-59,7.99910183226644e-57,123.597819727646,"Up","RN7SL329P"
"RPS15AP5",-2.4304817959362,0.989759503814274,-19.5159185527943,6.72263108669383e-59,9.89089810221339e-57,123.379733194781,"Down","RPS15AP5"
"DDR2",-1.83611092427188,4.21792640776921,-19.4959066400699,8.15699953748457e-59,1.19207157670286e-56,123.187200666001,"Down","DDR2"
"SYNGR2",0.660259533070915,9.89264874977264,19.4805811487941,9.45917739537303e-59,1.37315725189499e-56,123.039753591333,"Not","SYNGR2"
"ZNF215",-3.1803790422242,3.4154644714399,-19.453608722303,1.227613853475e-58,1.77028421585551e-56,122.780246790298,"Down","ZNF215"
"NUTM1",-2.46213335444663,3.51383433473996,-19.4297601149698,1.5458266460237e-58,2.2144983695504e-56,122.550790755081,"Down","NUTM1"
"UBR5",-0.610780595289389,10.3884957395723,-19.3335006637715,3.91924336139712e-58,5.57787739832825e-56,121.624612142558,"Not","UBR5"
"USP43",-2.06996788036422,4.17915176480873,-19.331063047756,4.0126768258998e-58,5.67376869376417e-56,121.601157620802,"Down","USP43"
"C1QC",3.09626255223686,1.88792846748701,19.2941081920161,5.73527503918205e-58,8.05713638568963e-56,121.245578932185,"Up","C1QC"
"FCHSD2",-0.606576647989876,9.29453452204645,-19.2803372325878,6.55177701150609e-58,9.14518874522725e-56,121.113074119268,"Not","FCHSD2"
"B3GALNT2",-1.41657866143823,6.58614150887923,-19.2662031978391,7.51083526282293e-58,1.04170979521e-55,120.977075330882,"Down","B3GALNT2"
"SLC20A2",-0.547312100113214,7.61662538459492,-19.2443508975659,9.2771803004461e-58,1.27854810786211e-55,120.766810064536,"Not","SLC20A2"
"CPXM1",-1.72015011222366,3.74414362535844,-19.2362767664191,1.00301694340448e-57,1.3736285498511e-55,120.689119699753,"Down","CPXM1"
"PCBP4",0.947131301347323,6.4421885170668,19.2081946501856,1.31579158236427e-57,1.79071010662387e-55,120.418909356643,"Not","PCBP4"
"TBX15",2.14710409930658,-0.00236516493867681,19.1980908164072,1.45077318931531e-57,1.9570253866397e-55,120.321688644242,"Up","TBX15"
"IGLJ7",-2.22631690684198,1.05427211199861,-19.1977206601464,1.45597296273539e-57,1.9570253866397e-55,120.318126940811,"Down","IGLJ7"
"SELENOM",1.33899889419191,5.59647756767273,19.1795253364664,1.73592546110374e-57,2.31900471874441e-55,120.143048599901,"Up","SELENOM"
"SH3RF3",-1.400432629596,7.3774294544834,-19.1767826023801,1.78255992194843e-57,2.36678306709922e-55,120.116657576534,"Down","SH3RF3"
"COL9A3",-3.45800106868199,7.42787893878476,-19.1595840200128,2.1049313077183e-57,2.77787146821612e-55,119.951170180385,"Down","COL9A3"
"RBMS3",-2.21998079866378,3.94775368543374,-19.0880936375568,4.20077028692651e-57,5.51034777095329e-55,119.263283122158,"Down","RBMS3"
"MAGEB17",-2.3706175826305,1.50045285065217,-19.0040634831774,9.46347208142108e-57,1.23393475792182e-54,118.454756257427,"Down","MAGEB17"
"RNU6-610P",1.87697532468498,0.147820249201716,18.9845331727217,1.14295306929942e-56,1.48141685023779e-54,118.266842765888,"Up","RNU6-610P"
"LYNX1",2.03196766734033,4.70912708736464,18.9701064562672,1.31396432372717e-56,1.69299249403308e-54,118.128035545145,"Up","LYNX1"
"MED13L",-0.889780084629777,10.918176212488,-18.9593453805009,1.45798195355959e-56,1.86750335522118e-54,118.024498237748,"Not","MED13L"
"TRBV16",-2.94465847385763,2.92133464030791,-18.95235704323,1.5598572809459e-56,1.98630949079514e-54,117.957260586957,"Down","TRBV16"
"FGFRL1",1.01778495909375,6.59526012602333,18.9313252076561,1.91144902810192e-56,2.41987224342554e-54,117.754906640942,"Up","FGFRL1"
"ERBIN",-0.871390413506969,10.6824631894677,-18.9214447500988,2.10297436976876e-56,2.64695184402976e-54,117.659844692856,"Not","ERBIN"
"ATP6V1B1",2.13847297458533,0.613200877845773,18.8934374985874,2.7566857294368e-56,3.44885102116528e-54,117.390385042142,"Up","ATP6V1B1"
"LOC100129878",-2.1512985682142,3.05972608219317,-18.8928735363898,2.77175168176314e-56,3.44885102116528e-54,117.384959187063,"Down","LOC100129878"
"HSF5",-1.24800369031094,5.15407352978998,-18.882902593284,3.0521380977635e-56,3.77615381129547e-54,117.289029619759,"Down","HSF5"
"ME1",-1.72159236163985,4.9745117985789,-18.8819117845072,3.08150421541724e-56,3.79094657009663e-54,117.27949718067,"Down","ME1"
"CEACAM21",1.02506795779434,7.384760207918,18.876340614371,3.25196463874069e-56,3.97817584317856e-54,117.225897850359,"Up","CEACAM21"
"MANEAL",1.23820332872231,3.85182829841736,18.8614110801719,3.7567024933343e-56,4.56995512806449e-54,117.082264530924,"Up","MANEAL"
"HOXC6",1.87233800966928,-0.0230228145038316,18.8556064164812,3.97346537786813e-56,4.8067893668377e-54,117.026419846623,"Up","HOXC6"
"DTX4",-1.04029275751321,8.44555645212487,-18.8339719154964,4.89745003207465e-56,5.89182179273069e-54,116.818284467181,"Down","DTX4"
"RRAS",1.2365613020141,6.73241916051349,18.8184271201813,5.69129103415638e-56,6.80922320157995e-54,116.668738086003,"Up","RRAS"
"EML6",-1.55095654357462,6.55008547123207,-18.8101175544938,6.16716041087232e-56,7.33824688233578e-54,116.588798152252,"Down","EML6"
"ERVH48-1",-1.88244004688222,5.03165209227795,-18.8035516202724,6.57115381793996e-56,7.7764605644371e-54,116.525632861747,"Down","ERVH48-1"
"ADAM33",-2.74975479796437,2.78628043814531,-18.8011031903852,6.72848569744223e-56,7.91960951685431e-54,116.502078708538,"Down","ADAM33"
"C3",1.7441533455355,5.11064610437698,18.7963895440331,7.04206031511378e-56,8.24413243879583e-54,116.456733114781,"Up","C3"
"RBM15",-0.588830065984428,8.84931522030616,-18.7949873318542,7.138132052435e-56,8.31191579902525e-54,116.443243785793,"Not","RBM15"
"SYNC",2.07455364701723,0.314116252071249,18.7939386870023,7.21083486567186e-56,8.35191112765983e-54,116.433155800462,"Up","SYNC"
"AATBC",1.05826855508935,7.77509797117751,18.7851004229266,7.85376574264449e-56,9.04845233048062e-54,116.348131993441,"Up","AATBC"
"LARP4B",-0.387162128004668,10.0997193811933,-18.7460512827393,1.14539386363414e-55,1.31268165161228e-53,115.97249120961,"Not","LARP4B"
"SNRPCP7",-2.40025194763933,2.0332196583285,-18.7416005148306,1.19572923053794e-55,1.36319392643789e-53,115.929677333792,"Down","SNRPCP7"
"SLC26A1",0.885502984627221,5.76906113665917,18.7342053094171,1.28430205676358e-55,1.45654569198057e-53,115.858540171965,"Not","SLC26A1"
