"","ID","PValue","FDR","deltaPSI","logFDR","geneSymbol","status"
"1754",3615,1,1,0.014,0,"FCGR1B","Not significant"
"1755",3617,6.98330282489e-14,0.000000000000432505695817144,0.098,28.4691808991061,"ORMDL1","Not significant"
"1756",3618,1,1,-0.014,0,"NLK","Not significant"
"1757",3619,0,0,0.12,Inf,"TRMT112","old"
"1758",3620,0,0,0.183,Inf,"SRSF7","old"
"1759",3623,0.00000480605157571,0.0000163392412695373,0.263,11.0219409035433,"CXXC1","old"
"1760",3627,0.000594105349651,0.00158611559015817,0.01,6.44646727686268,"RPL10A","Not significant"
"1761",3628,0.521654190114,0.843427022233824,0.019,0.170281898541219,"RPL10A","Not significant"
"1762",3629,0.00000000000183975057411,0.0000000000104923609575843,-0.008,25.280373651391,"RPL10A","Not significant"
"1763",3630,0.538208118066,0.865621001446269,0.017,0.144308108884951,"RPL10A","Not significant"
"1764",3631,1,1,0.001,0,"KRTCAP2","Not significant"
"1765",3632,0.00000000904250196943,0.0000000393319302637567,0.069,17.0512291730455,"KRTCAP2","Not significant"
"1766",3636,0.176595383579,0.321972751824905,0.186,1.13328835868013,"TNFRSF4","Not significant"
"1767",3640,0.000011385108227,0.0000371589908088428,0.209,10.2003048023841,"ARID5A","old"
"1768",3644,0.0000514979513028,0.000156215766831218,0.283,8.76427238563219,"CCDC28B","old"
"1769",3645,1,1,0,0,"HAX1","Not significant"
"1770",3646,0.515559704598,0.835227180167197,0.027,0.180051519079649,"HAX1","Not significant"
"1771",3647,1,1,0.001,0,"HAX1","Not significant"
"1772",3648,0.0000000023116930592,0.0000000106537951994551,0.109,18.3573496515146,"HAX1","old"
"1773",3649,1,1,0.01,0,"HAX1","Not significant"
"1774",3650,0.00000747765339615,0.0000249884201826322,0.131,10.5970980330977,"HAX1","old"
"1775",3651,0.042325636715,0.0875277730125728,0.059,2.43579913012318,"HAX1","Not significant"
"1776",3652,0.00165820914894,0.00419605713876914,0.229,5.47360997110297,"PRRC2A","old"
"1777",3653,0.749572582645,1,0.166,0,"PRRC2A","Not significant"
"1778",3654,0.558530441707,0.89244639071187,0.175,0.113788833561681,"PRRC2A","Not significant"
"1779",3655,1,1,0.001,0,"CLK2","Not significant"
"1780",3656,0.000000000104252495525,0.000000000537048344455284,0.238,21.3449329985533,"CLK3","old"
"1781",3657,0.00000862209274777,0.0000285595891624917,0.129,10.4635178056632,"CLK3","old"
"1782",3660,0.00584752670108,0.0138108418872183,0.045,4.28230135127435,"BRD2","Not significant"
"1783",3661,0,0,0.099,Inf,"BRD2","Not significant"
"1784",3662,0,0,-0.301,Inf,"PPIA","young"
"1785",3663,0.00000116271318251,0.00000419759165889203,0.235,12.3809996116895,"E4F1","old"
"1786",3664,0.00000904488005693,0.0000299195593510466,0.186,10.4169981325384,"MPV17","old"
"1787",3665,1,1,0.005,0,"RPS6KB2","Not significant"
"1788",3666,0,0,-0.217,Inf,"RPS6KB2","young"
"1789",3667,0,0,0.238,Inf,"RPS6KB2","old"
"1790",3671,0,0,0.064,Inf,"UBXN6","Not significant"
"1791",3672,0,0,0.045,Inf,"UBXN6","Not significant"
"1792",3676,0.0000474121656123,0.000144447885158369,0.245,8.84259177180739,"ABCC10","old"
"1793",3677,0.116138813342,0.221042753132268,0.159,1.50939914308683,"C1orf35","Not significant"
"1794",3681,1,1,-0.009,0,"HSPH1","Not significant"
"1795",3683,0.000510815764904,0.00137348322297733,0.279,6.59040526729981,"CD72","old"
"1796",3684,1,1,0,0,"CD72","Not significant"
"1797",3685,0.000000000127446164733,0.000000000650373709403091,0.164,21.1534739807089,"NR2C1","old"
"1798",3687,1,1,0.107,0,"UBE2Q1","Not significant"
