"","ID","PValue","FDR","deltaPSI","logFDR","geneSymbol","status"
"1",1,1,1,-0.001,0,"MCM3AP","Not significant"
"2",2,1,1,0,0,"MCM3AP","Not significant"
"3",10,0.487720384952,1,0.042,0,"COL18A1","Not significant"
"4",11,1,1,0.001,0,"POFUT2","Not significant"
"5",12,9.08162434143e-14,0.00000000000203763435466454,0.282,26.91923161103,"ITGB2","old"
"6",13,0,0,0.051,Inf,"ITGB2","Not significant"
"7",28,1,1,-0.037,0,"GART","Not significant"
"8",29,1,1,0.005,0,"GART","Not significant"
"9",30,1,1,0.001,0,"GART","Not significant"
"10",32,0.000705444338222,0.00522526238984308,0.139,5.25425026424037,"SCAF4","old"
"11",33,1,1,0,0,"SCAF4","Not significant"
"12",34,1,1,-0.004,0,"TIAM1","Not significant"
"13",38,1,1,0.023,0,"CH507-9B2.3","Not significant"
"14",39,1,1,0,0,"CHKB-CPT1B","Not significant"
"15",40,1,1,-0.007,0,"CHKB-CPT1B","Not significant"
"16",41,1,1,0,0,"CHKB-CPT1B","Not significant"
"17",43,1,1,0.001,0,"NCAPH2","Not significant"
"18",48,1,1,0.003,0,"PPP6R2","Not significant"
"19",49,1,1,0.001,0,"DENND6B","Not significant"
"20",53,1,1,0,0,"TUBGCP6","Not significant"
"21",54,1,1,0,0,"TUBGCP6","Not significant"
"22",55,0.000000000000573985303731,0.0000000000120589094265667,0.009,25.141217357693,"TUBGCP6","Not significant"
"23",56,1,1,-0.004,0,"TUBGCP6","Not significant"
"24",57,1,1,0,0,"TRABD","Not significant"
"25",58,1,1,0,0,"TRABD","Not significant"
"26",63,1,1,0.016,0,"PARVG","Not significant"
"27",64,1,1,0.001,0,"PARVG","Not significant"
"28",65,0.000454925375071,0.0035044418059636,0.113,5.65372402767936,"PARVG","old"
"29",66,1,1,-0.002,0,"PARVG","Not significant"
"30",70,0.181937638532,0.710532966028647,0.065,0.341739934169983,"TCF20","Not significant"
"31",73,1,1,-0.016,0,"PMM1","Not significant"
"32",74,0.177593731181,0.69475156410144,0.162,0.364200959046563,"RANGAP1","Not significant"
"33",77,0.996225791262,1,0.004,0,"MIEF1","Not significant"
"34",78,0.592721281906,1,0.026,0,"CBX7","Not significant"
"35",79,1,1,0,0,"CBX7","Not significant"
"36",80,1,1,0,0,"CBX7","Not significant"
"37",81,0,0,0.014,Inf,"SUN2","Not significant"
"38",83,1,1,0.001,0,"SUN2","Not significant"
"39",84,1,1,0.006,0,"SUN2","Not significant"
"40",85,1,1,0.001,0,"JOSD1","Not significant"
"41",89,1,1,0,0,"DDX17","Not significant"
"42",90,1,1,0.001,0,"ANKRD54","Not significant"
"43",92,1,1,0.001,0,"ANKRD54","Not significant"
"44",94,0.03824206864,0.187937098622095,0.01,1.67164795393453,"ANKRD54","Not significant"
"45",95,1,1,-0.005,0,"LGALS1","Not significant"
"46",96,1,1,-0.006,0,"GGA1","Not significant"
"47",97,1,1,-0.001,0,"GGA1","Not significant"
"48",99,1,1,0,0,"CYTH4","Not significant"
"49",100,1,1,-0.001,0,"CYTH4","Not significant"
"50",101,0.082274352708,0.364769360399401,0.078,1.00849001444255,"CSF2RB","Not significant"
"51",104,1,1,-0.019,0,"SFI1","Not significant"
"52",105,1,1,-0.032,0,"SFI1","Not significant"
"53",106,1,1,0.003,0,"SFI1","Not significant"
"54",107,0.805985084333,1,0.221,0,"SFI1","Not significant"
"55",108,1,1,-0.016,0,"TCN2","Not significant"
"56",118,1,1,0,0,"ASCC2","Not significant"
"57",120,1,1,-0.001,0,"EWSR1","Not significant"
"58",123,1,1,0.002,0,"EWSR1","Not significant"
"59",124,1,1,0,0,"EWSR1","Not significant"
"60",125,1,1,0,0,"EWSR1","Not significant"
"61",126,1,1,0.005,0,"EWSR1","Not significant"
"62",127,1,1,0,0,"EWSR1","Not significant"
"63",128,0.0704498571565,0.320176243635539,0.081,1.13888367344068,"EWSR1","Not significant"
"64",129,1,1,-0.069,0,"EWSR1","Not significant"
"65",130,1,1,0,0,"EWSR1","Not significant"
"66",132,1,1,-0.006,0,"CHEK2","Not significant"
"67",133,1,1,-0.019,0,"CHEK2","Not significant"
"68",135,1,1,-0.005,0,"HPS4","Not significant"
"69",148,1,1,0,0,"GGT1","Not significant"
"70",149,1,1,0,0,"GGT1","Not significant"
"71",150,0.0000698802672289,0.000613459819813819,0.17,7.3963957893341,"GGT1","old"
"72",151,1,1,0.002,0,"GGT1","Not significant"
"73",152,1,1,0.002,0,"GGT1","Not significant"
"74",153,0.0225951591774,0.117195975577789,-0.017,2.14390774050227,"GGT1","Not significant"
"75",154,0.0192370213738,0.102199439988165,-0.029,2.2808290807954,"GGT1","Not significant"
"76",155,0.177177663688,0.693701958124469,0.042,0.365712865869668,"GGT1","Not significant"
"77",160,0.203384757909,0.774974732939322,-0.003,0.254924852819207,"SLC2A11","Not significant"
"78",162,1,1,-0.005,0,"SLC2A11","Not significant"
"79",163,1,1,0.003,0,"SLC2A11","Not significant"
"80",169,1,1,0.002,0,"GUSBP11","Not significant"
"81",178,1,1,0.003,0,"PI4KAP2","Not significant"
"82",188,1,1,0.003,0,"C22orf29","Not significant"
"83",189,1,1,-0.005,0,"SEPT5","Not significant"
"84",190,0.0000510089108765,0.000457348566578435,-0.016,7.69006473005631,"SEPT5","Not significant"
"85",194,1,1,-0.008,0,"PI4KAP1","Not significant"
"86",196,0,0,0.041,Inf,"BID","Not significant"
"87",197,0.0180965988692,0.0969767883750057,0.004,2.33328362421743,"BID","Not significant"
"88",199,1,1,0.004,0,"CECR1","Not significant"
"89",200,1,1,0.007,0,"CECR1","Not significant"
"90",201,1,1,0,0,"CECR1","Not significant"
"91",203,1,1,0.004,0,"SGSM3","Not significant"
"92",204,0.000844379137626,0.00616543503018542,0.105,5.08879658034842,"KDM5D","old"
"93",206,1,1,0.005,0,"TXLNGY","Not significant"
"94",207,1,1,-0.006,0,"TXLNGY","Not significant"
"95",216,0.023426207577,0.121099784280588,0.01,2.11114040975756,"ZNF544","Not significant"
"96",233,0.965532476527,1,0.026,0,"EPN1","Not significant"
"97",236,1,1,0,0,"UBE2S","Not significant"
"98",237,1,1,0,0,"RPL28","Not significant"
"99",238,0.815193829168,1,-0.001,0,"TMEM150B","Not significant"
"100",245,0.689877251602,1,-0.003,0,"NCR1","Not significant"
"101",247,1,1,0.004,0,"LILRB4","Not significant"
"102",248,1,1,-0.001,0,"LILRB4","Not significant"
"103",249,0.0346617231975,0.172822529254417,0.039,1.75549005348088,"LILRB4","Not significant"
"104",252,0.487093796494,1,0.027,0,"LILRB4","Not significant"
"105",253,0,0,-0.013,Inf,"LILRA1","Not significant"
"106",256,1,1,-0.003,0,"LAIR1","Not significant"
"107",257,0.00042679698823,0.00330151578175575,-0.017,5.71337358816365,"LAIR1","Not significant"
"108",258,0.000192362875279,0.00156531903087947,0.145,6.45966562216824,"LAIR1","old"
"109",259,0.130424274897,0.535840887621275,0.168,0.623918013433295,"LAIR1","Not significant"
"110",261,0.00192511493454,0.0131820462628798,0.143,4.3288995068084,"LAIR1","old"
"111",262,1,1,0.023,0,"LAIR1","Not significant"
"112",263,1,1,0.014,0,"LAIR1","Not significant"
"113",265,0.000000187152986553,0.00000241289010836253,0.024,12.9346853138576,"RPS9","Not significant"
"114",268,1,1,0.005,0,"TFPT","Not significant"
"115",272,1,1,0.008,0,"ZNF160","Not significant"
"116",275,0.0000190265025248,0.000184168575224347,0.067,8.59965905008505,"CHKB","Not significant"
"117",276,1,1,0.003,0,"CHKB","Not significant"
"118",277,1,1,0,0,"CHKB","Not significant"
"119",278,1,1,0,0,"CHKB","Not significant"
"120",291,0.000304861345993,0.00240895928485133,0.073,6.02856045675776,"CD33","Not significant"
"121",299,0.00000000144464717966,0.0000000227114260693487,-0.115,17.6003976880251,"JOSD2","young"
"122",300,1,1,0.002,0,"SPIB","Not significant"
"123",302,1,1,0.002,0,"PTOV1","Not significant"
"124",303,1,1,-0.002,0,"PTOV1","Not significant"
"125",304,1,1,0.001,0,"PTOV1","Not significant"
"126",305,1,1,-0.007,0,"PTOV1","Not significant"
"127",306,0.747153934938,1,0.039,0,"PTOV1","Not significant"
"128",307,1,1,0,0,"MED25","Not significant"
"129",311,0.000000000000110245146345,0.00000000000243223420719136,-0.008,26.7422108541623,"BCL2L12","Not significant"
"130",313,1,1,0.002,0,"NOSIP","Not significant"
"131",314,0.0191358534171,0.101720430700214,0.058,2.28552710426284,"NOSIP","Not significant"
"132",315,0.0246440745969,0.126772301376596,0.061,2.06536270424348,"NOSIP","Not significant"
"133",316,1,1,0.008,0,"NOSIP","Not significant"
"134",317,1,1,0.002,0,"NOSIP","Not significant"
"135",318,1,1,0,0,"NOSIP","Not significant"
"136",319,0.00000657555445194,0.0000689670010001829,0.005,9.58188241413745,"NOSIP","Not significant"
"137",320,0.393755829966,1,0.071,0,"FLT3LG","Not significant"
"138",321,0.00000000000272015743263,0.0000000000540755598004983,-0.077,23.6406387918453,"FLT3LG","Not significant"
"139",322,0.30471781249,1,0.124,0,"FLT3LG","Not significant"
"140",323,0.68085668519,1,0.001,0,"FLT3LG","Not significant"
"141",324,0.000302371115947,0.00239308098956684,-0.041,6.03517362626303,"FLT3LG","Not significant"
"142",325,1,1,0.002,0,"FLT3LG","Not significant"
"143",326,1,1,0.011,0,"FLT3LG","Not significant"
"144",327,0.0750753248345,0.337218806010747,0.196,1.08702328332196,"FLT3LG","Not significant"
"145",328,1,1,0,0,"PIH1D1","Not significant"
"146",329,1,1,-0.003,0,"PIH1D1","Not significant"
"147",330,0,0,-0.264,Inf,"PIH1D1","young"
"148",331,0.0209188440998,0.10987147435145,0.042,2.2084440113055,"PIH1D1","Not significant"
"149",332,1,1,0.005,0,"PIH1D1","Not significant"
"150",333,0.00000091980945538,0.0000108591553071938,0.011,11.4305020266683,"PIH1D1","Not significant"
"151",334,1,1,0.022,0,"PIH1D1","Not significant"
"152",346,1,1,0.007,0,"SPHK2","Not significant"
"153",347,1,1,0.01,0,"SPHK2","Not significant"
