"","ID","PValue","FDR","deltaPSI","logFDR","geneSymbol","status"
"2786",6578,1,1,0.012,0,"STRADA","Not significant"
"2787",6579,0.528179769355,1,0.056,0,"STRADA","Not significant"
"2788",6580,0.0422791157607,0.19020822991061,-0.008,1.65963586003509,"STRADA","Not significant"
"2789",6591,1,1,-0.001,0,"PFKM","Not significant"
"2790",6593,1,1,0.001,0,"PFKM","Not significant"
"2791",6594,0.430013029808,1,0,0,"IGSF6","Not significant"
"2792",6603,0.0389474222395,0.176952900129235,0.065,1.73187168278422,"CEP164","Not significant"
"2793",6607,1,1,0.004,0,"POLD1","Not significant"
"2794",6609,0,0,0.303,Inf,"TANGO2","old"
"2795",6610,1,1,0.024,0,"TANGO2","Not significant"
"2796",6611,0.196979787784,0.72367343573568,-0.009,0.323415043966305,"TANGO2","Not significant"
"2797",6612,1,1,0.008,0,"TANGO2","Not significant"
"2798",6613,0.0000000250974409033,0.000000270943439769803,-0.016,15.1213557471861,"TANGO2","Not significant"
"2799",6615,1,1,0.001,0,"TBRG4","Not significant"
"2800",6616,1,1,0,0,"TBRG4","Not significant"
"2801",6619,1,1,0.004,0,"PCNX","Not significant"
"2802",6620,1,1,-0.004,0,"PCNX","Not significant"
"2803",6624,1,1,0.003,0,"FADS3","Not significant"
"2804",6625,1,1,-0.001,0,"FADS3","Not significant"
"2805",6626,1,1,0,0,"ANKRD13D","Not significant"
"2806",6628,1,1,0,0,"MAP2K2","Not significant"
"2807",6629,1,1,-0.002,0,"GANAB","Not significant"
"2808",6630,1.09912079438e-14,0.000000000000181765959624615,0.308,29.3360564714877,"POLR2G","old"
"2809",6631,0,0,0.077,Inf,"POLR2G","Not significant"
"2810",6632,1,1,-0.006,0,"POLR2G","Not significant"
"2811",6635,1,1,0,0,"RBM3","Not significant"
"2812",6636,1,1,0,0,"RBM3","Not significant"
"2813",6637,3.33066907388e-16,6.02548314274655e-15,0.197,32.7427787290815,"RBM3","old"
"2814",6639,1,1,-0.004,0,"SLC35A1","Not significant"
"2815",6643,1,1,0,0,"FKBP2","Not significant"
"2816",6645,0.0000000118788269221,0.00000013280261558977,0.038,15.8344019043919,"CCDC88B","Not significant"
"2817",6649,0.65800303833,1,0.134,0,"C21orf2","Not significant"
"2818",6650,0.26362198357,0.927961817165625,0.058,0.0747646923380901,"C21orf2","Not significant"
"2819",6651,1,1,0.001,0,"MAP4K2","Not significant"
"2820",6652,1,1,-0.001,0,"MEN1","Not significant"
"2821",6654,0.470534475838,1,0,0,"ATG2A","Not significant"
"2822",6657,1,1,-0.005,0,"ZFPL1","Not significant"
"2823",6658,1,1,0,0,"ZFPL1","Not significant"
"2824",6659,0.270227744043,0.946193332514199,0.243,0.0553083624023926,"ZFPL1","Not significant"
"2825",6661,1,1,0.004,0,"RINT1","Not significant"
"2826",6662,1,1,-0.003,0,"KAT5","Not significant"
"2827",6663,1,1,0,0,"DRAP1","Not significant"
"2828",6664,0.0370749231836,0.168830885893281,0.023,1.77885774025642,"CATSPER1","Not significant"
"2829",6666,0.00000159821014811,0.0000144565372488132,-0.008,11.1443638409479,"PSMD4","Not significant"
"2830",6669,0.000364245305628,0.00234871203378878,0.164,6.05388817179991,"NELFCD","old"
"2831",6670,0.0629020182006,0.26900075118738,0.022,1.31304110686606,"NELFCD","Not significant"
"2832",6671,1,1,0,0,"NELFCD","Not significant"
"2833",6672,1,1,-0.001,0,"DPP3","Not significant"
"2834",6675,1,1,0,0,"CCS","Not significant"
"2835",6676,1,1,0.001,0,"CCS","Not significant"
"2836",6677,1,1,0,0,"RBM4","Not significant"
"2837",6678,1,1,0.016,0,"KDM2A","Not significant"
"2838",6679,0.00756399996562,0.0392329103342758,0.328,3.23823933506638,"TMEM134","old"
"2839",6680,0.00841027764554,0.0430611985796516,-0.01,3.14513295232761,"TMEM134","Not significant"
"2840",6682,0.462863482635,1,0.158,0,"TMEM134","Not significant"
"2841",6690,1,1,0.001,0,"PPFIA1","Not significant"
"2842",6698,1,1,0,0,"RPS3","Not significant"
"2843",6699,1,1,0,0,"RPS3","Not significant"
"2844",6700,1,1,0,0,"RPS3","Not significant"
"2845",6701,1,1,0,0,"RPS3","Not significant"
"2846",6702,1,1,0,0,"RPS3","Not significant"
"2847",6703,1,1,-0.003,0,"RPS3","Not significant"
"2848",6704,1,1,0,0,"RPS3","Not significant"
"2849",6712,1,1,0,0,"CCDC90B","Not significant"
"2850",6716,1,1,0,0,"TMEM126B","Not significant"
"2851",6717,1,1,-0.008,0,"TMEM126A","Not significant"
"2852",6719,0.00000732299220996,0.0000610590272255045,0.008,9.70366950223705,"ITGB7","Not significant"
"2853",6720,1,1,0.003,0,"ITGB7","Not significant"
"2854",6721,1,1,-0.005,0,"ITGB7","Not significant"
"2855",6722,1,1,-0.007,0,"SPSB3","Not significant"
"2856",6723,1,1,0,0,"SPSB3","Not significant"
"2857",6729,1,1,0,0,"LILRB3","Not significant"
"2858",6730,0.00000942264245596,0.0000778052219392548,0.031,9.46130200899054,"LILRB3","Not significant"
"2859",6731,1,1,0,0,"LILRB3","Not significant"
"2860",6733,1,1,-0.03,0,"ANKRD49","Not significant"
"2861",6734,1,1,-0.026,0,"ANKRD49","Not significant"
"2862",6735,1,1,0,0,"ANKRD49","Not significant"
"2863",6737,1,1,0.001,0,"TROVE2","Not significant"
"2864",6738,1,1,-0.004,0,"TROVE2","Not significant"
"2865",6739,1,1,0,0,"CWC15","Not significant"
"2866",6740,1,1,-0.002,0,"RRP8","Not significant"
"2867",6743,1,1,-0.026,0,"BIRC2","Not significant"
"2868",6756,1,1,-0.005,0,"INPP4B","Not significant"
"2869",6772,1,1,0,0,"RSAD1","Not significant"
"2870",6774,0.0000232576224124,0.000182215230711323,0.17,8.61032198326594,"NDUFS5","old"
"2871",6776,1,1,0.001,0,"ZPR1","Not significant"
"2872",6777,1,1,-0.003,0,"SIDT2","Not significant"
"2873",6778,1,1,0.001,0,"SIDT2","Not significant"
